,Operator,Departure Time,Travel Duration,Arrival Time,price,Bus Type,Seats Left,Window Seats,rating,Source,Destination,distance
1141,Orange Tours And Travels,2024-11-07 20:50:00,14hrs 10mins,2024-11-07 11:00:00,1300,A/C Sleeper (2+1),23,9,1.8,Bengaluru,Pune,839
1142,VRL Travels,2024-11-07 21:00:00,15hrs 30mins,2024-11-07 12:30:00,1400,A/C Sleeper (2+1),27,12,1.8,Bengaluru,Pune,839
1143,Rajat Rides Tours and Travels,2024-11-07 20:00:00,19hrs 00mins,2024-11-07 15:00:00,5000,A/C Sleeper (2+1),25,13,2.0,Bengaluru,Pune,839
1144,Anand Travels,2024-11-07 18:30:00,16hrs 05mins,2024-11-07 10:35:00,1505,A/C Sleeper (2+1),25,13,1.6,Bengaluru,Pune,839
1145,SRS Travels,2024-11-07 17:00:00,14hrs 30mins,2024-11-07 07:30:00,1599,NON A/C Sleeper (2+1),19,8,1.8,Bengaluru,Pune,839
1146,Shree balaji tour and travels,2024-11-07 18:05:00,16hrs 35mins,2024-11-07 10:40:00,3999,A/C Sleeper (2+1),27,15,1.0,Bengaluru,Pune,839
1148,Salasar vaishnav travels,2024-11-07 19:35:00,16hrs 00mins,2024-11-07 11:35:00,4000,Bharat Benz A/C Sleeper (2+1),33,18,3.2,Bengaluru,Pune,839
1149,Rajesh Transports,2024-11-07 21:00:00,10hrs 35mins,2024-11-07 07:35:00,1775,Volvo 9600 Multi-Axle A/C Sleeper (2+1),31,16,5.0,Bengaluru,Hyderabad,576
1150,PRAMUKH TRAVELS,2024-11-07 22:15:00,08hrs 50mins,2024-11-07 07:05:00,1199,Volvo 9600 Multi-Axle A/C Sleeper (2+1),35,18,4.7,Bengaluru,Hyderabad,576
1151,BSR Tours And Travels,2024-11-07 22:00:00,09hrs 30mins,2024-11-07 07:30:00,1300,Volvo 9600 Multi-Axle A/C Sleeper (2+1),38,20,4.6,Bengaluru,Hyderabad,576
1152,Shyamoli Paribahan Pvt Ltd,2024-11-07 21:00:00,10hrs 15mins,2024-11-07 07:15:00,1000,A/C Sleeper (2+1),25,12,4.1,Bengaluru,Hyderabad,576
1153,KSM Roadways,2024-11-07 21:45:00,09hrs 15mins,2024-11-07 07:00:00,1299,Bharat Benz A/C Sleeper (2+1),26,13,4.8,Bengaluru,Hyderabad,576
1154,KSM Roadways,2024-11-07 21:05:00,09hrs 10mins,2024-11-07 06:15:00,1619,A/C Volvo B11R Multi-Axle Sleeper (2+1),30,16,4.7,Bengaluru,Hyderabad,576
1155,IntrCity SmartBus,2024-11-07 18:10:00,11hrs 05mins,2024-11-07 05:15:00,889,AC Sleeper (2+1),29,14,4.7,Bengaluru,Hyderabad,576
1156,Rajesh Transports,2024-11-07 21:00:00,10hrs 35mins,2024-11-07 07:35:00,1319,Volvo 9600 Multi-Axle A/C Sleeper (2+1),29,14,4.7,Bengaluru,Hyderabad,576
1157,PRAMUKH TRAVELS,2024-11-07 23:15:00,08hrs 15mins,2024-11-07 07:30:00,1199,Volvo 9600 Multi-Axle A/C Sleeper (2+1),33,18,4.6,Bengaluru,Hyderabad,576
1158,KSM Roadways,2024-11-07 22:00:00,08hrs 15mins,2024-11-07 06:15:00,1409,Bharat Benz A/C Sleeper (2+1),26,12,4.7,Bengaluru,Hyderabad,576
1159,Rajesh Transports,2024-11-07 21:10:00,10hrs 45mins,2024-11-07 07:55:00,1299,Volvo 9600 Multi-Axle A/C Sleeper (2+1),24,11,4.7,Bengaluru,Hyderabad,576
1160,IntrCity SmartBus,2024-11-07 18:00:00,12hrs 00mins,2024-11-07 06:00:00,569,A/C Seater / Sleeper (2+1),40,15,4.4,Bengaluru,Hyderabad,576
1161,VSR Tours and Travels,2024-11-07 20:42:00,10hrs 18mins,2024-11-07 07:00:00,799,A/C Sleeper (2+1),24,11,4.6,Bengaluru,Hyderabad,576
1162,TVK TRAVELS,2024-11-07 21:50:00,08hrs 25mins,2024-11-07 06:15:00,1169,Bharat Benz A/C Sleeper (2+1),12,5,4.8,Bengaluru,Hyderabad,576
1163,November Travels,2024-11-07 21:00:00,10hrs 00mins,2024-11-07 07:00:00,800,Bharat Benz A/C Sleeper (2+1),31,16,4.5,Bengaluru,Hyderabad,576
1164,KSM Roadways,2024-11-07 22:45:00,08hrs 00mins,2024-11-07 06:45:00,1599,A/C Volvo B11R Multi-Axle Sleeper (2+1),30,14,4.6,Bengaluru,Hyderabad,576
1165,Shyamoli Paribahan Pvt Ltd,2024-11-07 21:35:00,09hrs 25mins,2024-11-07 07:00:00,1100,Volvo 9600 Multi-Axle A/C Sleeper (2+1),34,8,4.5,Bengaluru,Hyderabad,576
1166,Jabbar  Travels,2024-11-07 22:00:00,08hrs 30mins,2024-11-07 06:30:00,900,Scania AC Multi Axle Sleeper (2+1),32,11,4.5,Bengaluru,Hyderabad,576
1167,Mythri Tours And Travels,2024-11-07 21:55:00,09hrs 05mins,2024-11-07 07:00:00,999,A/C Sleeper (2+1),22,10,4.6,Bengaluru,Hyderabad,576
1168,Go Tour Travels and Holidays,2024-11-07 21:50:00,09hrs 55mins,2024-11-07 07:45:00,1099,Scania AC Multi Axle Sleeper (2+1),31,14,4.5,Bengaluru,Hyderabad,576
1169,Yolo Bus,2024-11-07 18:00:00,13hrs 47mins,2024-11-07 07:47:00,980,Bharat Benz A/C Sleeper (2+1),26,13,4.5,Bengaluru,Hyderabad,576
1170,Zingbus Plus,2024-11-07 21:35:00,10hrs 00mins,2024-11-07 07:35:00,708,A/C Sleeper (2+1),26,12,4.5,Bengaluru,Hyderabad,576
1171,Intercity travels,2024-11-07 20:30:00,10hrs 15mins,2024-11-07 06:45:00,1099,Bharat Benz A/C Sleeper (2+1),18,9,4.7,Bengaluru,Hyderabad,576
1172,Go Tour Travels and Holidays,2024-11-07 22:05:00,09hrs 40mins,2024-11-07 07:45:00,1199,Volvo 9600 Multi-Axle A/C Sleeper (2+1),34,18,4.5,Bengaluru,Hyderabad,576
1173,BSR Tours And Travels,2024-11-07 20:57:00,10hrs 03mins,2024-11-07 07:00:00,880,A/C Sleeper (2+1),28,9,4.5,Bengaluru,Hyderabad,576
1174,Ramana Tours And Travels,2024-11-07 21:30:00,10hrs 20mins,2024-11-07 07:50:00,899,A/C Sleeper (2+1),31,18,4.4,Bengaluru,Hyderabad,576
1175,KSM Roadways,2024-11-07 22:00:00,08hrs 15mins,2024-11-07 06:15:00,1919,A/C Volvo B11R Multi-Axle Sleeper (2+1),28,14,4.6,Bengaluru,Hyderabad,576
1176,Jabbar  Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,600,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),46,20,4.2,Bengaluru,Hyderabad,576
1177,Go Tour Travels and Holidays,2024-11-07 21:10:00,10hrs 20mins,2024-11-07 07:30:00,1099,Scania AC Multi Axle Sleeper (2+1),23,10,4.6,Bengaluru,Hyderabad,576
1178,Intercity travels,2024-11-07 20:00:00,10hrs 30mins,2024-11-07 06:30:00,999,Bharat Benz A/C Sleeper (2+1),21,9,4.6,Bengaluru,Hyderabad,576
1179,Intercity travels,2024-11-07 21:00:00,10hrs 30mins,2024-11-07 07:30:00,999,Bharat Benz A/C Sleeper (2+1),25,13,4.5,Bengaluru,Hyderabad,576
1180,BSR Tours And Travels,2024-11-07 21:20:00,09hrs 40mins,2024-11-07 07:00:00,1180,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23,10,4.5,Bengaluru,Hyderabad,576
1181,Zingbus Plus,2024-11-07 19:05:00,11hrs 20mins,2024-11-07 06:25:00,820,A/C Sleeper (2+1),26,13,4.4,Bengaluru,Hyderabad,576
1182,CMR Express,2024-11-07 22:15:00,09hrs 05mins,2024-11-07 07:20:00,950,A/C Sleeper (2+1),33,17,4.3,Bengaluru,Hyderabad,576
1183,SL Travels,2024-11-07 22:30:00,09hrs 15mins,2024-11-07 07:45:00,749,A/C Sleeper (2+1),27,14,4.4,Bengaluru,Hyderabad,576
1184,November Travels,2024-11-07 19:00:00,13hrs 00mins,2024-11-07 08:00:00,600,A/C Seater / Sleeper (2+1),31,16,4.3,Bengaluru,Hyderabad,576
1185,Sri Durgamba Travels,2024-11-07 21:25:00,08hrs 55mins,2024-11-07 06:20:00,900,A/C Sleeper (2+1),27,13,4.4,Bengaluru,Hyderabad,576
1186,IntrCity SmartBus,2024-11-07 19:55:00,10hrs 25mins,2024-11-07 06:20:00,839,AC Sleeper (2+1),33,11,4.3,Bengaluru,Hyderabad,576
1187,KGN INDIA,2024-11-07 18:45:00,12hrs 15mins,2024-11-07 07:00:00,700,NON A/C Sleeper (2+1),25,13,4.4,Bengaluru,Hyderabad,576
1188,IntrCity SmartBus,2024-11-07 21:55:00,08hrs 50mins,2024-11-07 06:45:00,859,AC Sleeper (2+1),30,15,4.3,Bengaluru,Hyderabad,576
1189,Balaji Cabs,2024-11-07 23:30:00,08hrs 00mins,2024-11-07 07:30:00,1499,Bharat Benz A/C Sleeper (2+1),25,12,4.5,Bengaluru,Hyderabad,576
1190,Dream Line Travels Pvt Ltd,2024-11-07 21:45:00,09hrs 55mins,2024-11-07 07:40:00,900,VE A/C Sleeper (2+1),21,9,4.4,Bengaluru,Hyderabad,576
1191,Vikram Travels,2024-11-07 22:30:00,08hrs 50mins,2024-11-07 07:20:00,949,A/C Sleeper (2+1),23,12,4.4,Bengaluru,Hyderabad,576
1192,Ramana Tours And Travels,2024-11-07 19:35:00,11hrs 10mins,2024-11-07 06:45:00,900,A/C Sleeper (2+1),37,19,4.1,Bengaluru,Hyderabad,576
1193,IntrCity SmartBus,2024-11-07 18:30:00,10hrs 05mins,2024-11-07 04:35:00,579,VE A/C Seater / Sleeper (2+1),42,16,4.1,Bengaluru,Hyderabad,576
1194,Vikram Travels,2024-11-07 22:30:00,09hrs 00mins,2024-11-07 07:30:00,899,A/C Sleeper (2+1),27,13,4.3,Bengaluru,Hyderabad,576
1195,Highline Transports,2024-11-07 21:30:00,09hrs 20mins,2024-11-07 06:50:00,800,VE A/C Sleeper (2+1),26,12,4.3,Bengaluru,Hyderabad,576
1196,Jabbar  Travels,2024-11-07 22:20:00,09hrs 10mins,2024-11-07 07:30:00,663,Scania Multi-Axle AC Semi Sleeper (2+2),32,13,4.2,Bengaluru,Hyderabad,576
1197,Jabbar  Travels,2024-11-07 21:00:00,09hrs 00mins,2024-11-07 06:00:00,800,VE A/C Sleeper (2+1),24,11,4.3,Bengaluru,Hyderabad,576
1198,Aditya Logistics,2024-11-07 21:25:00,09hrs 50mins,2024-11-07 07:15:00,800,A/C Sleeper (2+1),18,6,4.4,Bengaluru,Hyderabad,576
1199,BSR Tours And Travels,2024-11-07 20:07:00,09hrs 53mins,2024-11-07 06:00:00,980,Scania AC Multi Axle Sleeper (2+1),16,8,4.4,Bengaluru,Hyderabad,576
1200,IntrCity SmartBus,2024-11-07 18:40:00,11hrs 05mins,2024-11-07 05:45:00,809,A/C Sleeper (2+1),33,16,4.1,Bengaluru,Hyderabad,576
1201,Go Tour Travels and Holidays,2024-11-07 22:00:00,10hrs 15mins,2024-11-07 08:15:00,899,A/C Sleeper (2+1),21,12,4.3,Bengaluru,Hyderabad,576
1202,Go Tour Travels and Holidays,2024-11-07 20:55:00,10hrs 05mins,2024-11-07 07:00:00,899,A/C Sleeper (2+1),21,9,4.3,Bengaluru,Hyderabad,576
1203,Kaveri Travels,2024-11-07 18:20:00,11hrs 40mins,2024-11-07 06:00:00,700,A/C Sleeper (2+1),21,11,4.3,Bengaluru,Hyderabad,576
1204,Orange Tours And Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,1300,Volvo 9600 Multi-Axle A/C Sleeper (2+1),37,19,4.1,Bengaluru,Hyderabad,576
1205,Zingbus Plus,2024-11-07 20:30:00,11hrs 55mins,2024-11-07 08:25:00,704,Scania AC Multi Axle Sleeper (2+1),32,15,4.1,Bengaluru,Hyderabad,576
1206,IntrCity SmartBus,2024-11-07 20:45:00,13hrs 30mins,2024-11-07 10:15:00,599,A/C Seater / Sleeper (2+1),37,16,4.0,Bengaluru,Hyderabad,576
1207,RESHMA TOURISTS,2024-11-07 22:20:00,09hrs 10mins,2024-11-07 07:30:00,850,Bharat Benz A/C Sleeper (2+1),25,12,4.2,Bengaluru,Hyderabad,576
1208,Jabbar  Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,550,NON AC Seater / Sleeper 2+1,33,15,4.0,Bengaluru,Hyderabad,576
1209,GEE PEE TRAVELS,2024-11-07 21:50:00,09hrs 10mins,2024-11-07 07:00:00,666,VE A/C Sleeper (2+1),27,14,4.1,Bengaluru,Hyderabad,576
1210,Jabbar  Travels,2024-11-07 22:30:00,09hrs 00mins,2024-11-07 07:30:00,574,NON A/C Semi Sleeper / Sleeper (2+1),23,11,4.2,Bengaluru,Hyderabad,576
1211,KSM Roadways,2024-11-07 21:25:00,10hrs 05mins,2024-11-07 07:30:00,2499,Bharat Benz A/C Sleeper (1+1),17,12,4.5,Bengaluru,Hyderabad,576
1212,Sri Krishna Travels,2024-11-07 21:30:00,09hrs 10mins,2024-11-07 06:40:00,890,A/C Sleeper (2+1),23,8,4.2,Bengaluru,Hyderabad,576
1213,National  travels,2024-11-07 22:00:00,08hrs 00mins,2024-11-07 06:00:00,900,Scania AC Multi Axle Sleeper (2+1),38,19,3.9,Bengaluru,Hyderabad,576
1214,Royal Rich India,2024-11-07 23:47:00,08hrs 43mins,2024-11-07 08:30:00,1050,Bharat Benz A/C Sleeper (2+1),24,11,4.2,Bengaluru,Hyderabad,576
1215,S.L  Travels,2024-11-07 18:50:00,09hrs 40mins,2024-11-07 04:30:00,790,NON A/C Sleeper (2+1),21,10,4.2,Bengaluru,Hyderabad,576
1216,V Kaveri Travels,2024-11-07 22:00:00,11hrs 00mins,2024-11-07 09:00:00,919,Volvo Multi-Axle A/C Sleeper (2+1) ,25,7,4.1,Bengaluru,Hyderabad,576
1217,GreenLine Travels And  Holidays,2024-11-07 23:00:00,09hrs 00mins,2024-11-07 08:00:00,1249,VE A/C Sleeper (2+1),28,14,4.1,Bengaluru,Hyderabad,576
1218,NS Holidays,2024-11-07 22:30:00,10hrs 30mins,2024-11-07 09:00:00,750,NON A/C Sleeper (2+1),25,11,4.1,Bengaluru,Hyderabad,576
1219,LIMOLINER,2024-11-07 21:45:00,09hrs 15mins,2024-11-07 07:00:00,809,A/C Sleeper (2+1),21,19,4.1,Bengaluru,Hyderabad,576
1220,IntrCity SmartBus,2024-11-07 22:45:00,10hrs 00mins,2024-11-07 08:45:00,1099,AC Sleeper (2+1),33,11,4.0,Bengaluru,Hyderabad,576
1221,Shyamoli Paribahan Pvt Ltd,2024-11-07 23:15:00,07hrs 45mins,2024-11-07 07:00:00,1304,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19,11,4.2,Bengaluru,Hyderabad,576
1222,Jabbar  Travels,2024-11-07 21:30:00,09hrs 00mins,2024-11-07 06:30:00,700,NON A/C Sleeper (2+1),21,10,4.1,Bengaluru,Hyderabad,576
1223,IntrCity SmartBus,2024-11-07 21:10:00,08hrs 50mins,2024-11-07 06:00:00,1239,AC Sleeper (2+1),23,11,4.1,Bengaluru,Hyderabad,576
1225,Sugama  Tourist,2024-11-07 21:10:00,09hrs 20mins,2024-11-07 06:30:00,900,A/C Sleeper (2+1),20,10,4.1,Bengaluru,Hyderabad,576
1226,National  travels,2024-11-07 21:15:00,09hrs 45mins,2024-11-07 07:00:00,900,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),35,18,3.8,Bengaluru,Hyderabad,576
1227,Delta Transports Pvt Ltd,2024-11-07 23:30:00,08hrs 15mins,2024-11-07 07:45:00,2000,Volvo 9600 Multi-Axle A/C Sleeper (2+1),32,16,4.0,Bengaluru,Hyderabad,576
1229,YAS TOURS AND TRAVELS,2024-11-07 23:35:00,08hrs 25mins,2024-11-07 08:00:00,1200,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),29,14,3.9,Bengaluru,Hyderabad,576
1230,Kaveri Travels,2024-11-07 21:30:00,09hrs 30mins,2024-11-07 07:00:00,650,A/C Sleeper (2+1),28,15,3.8,Bengaluru,Hyderabad,576
1231,IntrCity SmartBus,2024-11-07 19:10:00,10hrs 25mins,2024-11-07 05:35:00,989,AC Sleeper (2+1),25,14,3.9,Bengaluru,Hyderabad,576
1232,IntrCity SmartBus,2024-11-07 21:45:00,10hrs 20mins,2024-11-07 08:05:00,929,AC Sleeper (2+1),30,16,3.8,Bengaluru,Hyderabad,576
1233,Sri Vinayaka Travels,2024-11-07 21:15:00,08hrs 45mins,2024-11-07 06:00:00,560,NON A/C Seater/ Sleeper (2+1),20,8,3.9,Bengaluru,Hyderabad,576
1234,Indian Bus,2024-11-07 20:00:00,09hrs 15mins,2024-11-07 05:15:00,900,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),28,14,3.8,Bengaluru,Hyderabad,576
1235,SL Travels,2024-11-07 22:09:00,09hrs 56mins,2024-11-07 08:05:00,750,NON A/C Sleeper (2+1),21,10,3.9,Bengaluru,Hyderabad,576
1236,IntrCity SmartBus,2024-11-07 20:25:00,09hrs 55mins,2024-11-07 06:20:00,629,A/C Seater / Sleeper (2+1),39,17,3.6,Bengaluru,Hyderabad,576
1237,Sri Krishna Travels,2024-11-07 22:30:00,10hrs 45mins,2024-11-07 09:15:00,700,A/C Sleeper (2+1),24,7,3.8,Bengaluru,Hyderabad,576
1238,National  travels,2024-11-07 22:00:00,09hrs 30mins,2024-11-07 07:30:00,900,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),28,16,3.7,Bengaluru,Hyderabad,576
1240,GEE PEE TRAVELS,2024-11-07 22:55:00,10hrs 30mins,2024-11-07 09:25:00,580,NON A/C Sleeper (2+1),18,10,3.8,Bengaluru,Hyderabad,576
1241,BigBus,2024-11-07 23:45:00,09hrs 45mins,2024-11-07 09:30:00,1700,Volvo 9600 Multi-Axle A/C Sleeper (2+1),27,13,3.8,Bengaluru,Hyderabad,576
1242,VGO BUS,2024-11-07 21:15:00,10hrs 00mins,2024-11-07 07:15:00,1800,VE A/C Sleeper (2+1),25,13,3.8,Bengaluru,Hyderabad,576
1243,V Kaveri Travels,2024-11-07 22:00:00,08hrs 20mins,2024-11-07 06:20:00,899,Volvo Multi-Axle A/C Sleeper (2+1) ,22,6,3.7,Bengaluru,Hyderabad,576
1244,BigBus,2024-11-07 23:55:00,09hrs 35mins,2024-11-07 09:30:00,2000,Volvo 9600 Multi-Axle A/C Sleeper (2+1),32,17,3.7,Bengaluru,Hyderabad,576
1245,Sri Krishna Travels,2024-11-07 21:30:00,09hrs 00mins,2024-11-07 06:30:00,800,Volvo Multi-Axle A/C Sleeper (2+1) ,22,6,3.7,Bengaluru,Hyderabad,576
1246,National  travels,2024-11-07 23:48:00,08hrs 42mins,2024-11-07 08:30:00,810,VE A/C Sleeper (2+1),31,8,3.5,Bengaluru,Hyderabad,576
1247,Lemon Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,800,Volvo Multi-Axle A/C Sleeper (2+1),12,7,3.8,Bengaluru,Hyderabad,576
1248,BigBus,2024-11-07 22:50:00,08hrs 10mins,2024-11-07 07:00:00,2200,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23,10,3.8,Bengaluru,Hyderabad,576
1249,Yolo Bus,2024-11-07 19:16:00,11hrs 14mins,2024-11-07 06:30:00,1200,Bharat Benz A/C Sleeper (2+1),27,12,3.6,Bengaluru,Hyderabad,576
1250,IRA Travels,2024-11-07 20:15:00,09hrs 15mins,2024-11-07 05:30:00,879,A/C Sleeper (2+1),22,10,3.6,Bengaluru,Hyderabad,576
1251,Bmcc Travels,2024-11-07 22:30:00,07hrs 30mins,2024-11-07 06:00:00,800,A/C Sleeper (2+1),30,14,3.4,Bengaluru,Hyderabad,576
1252,VRL Travels,2024-11-07 22:00:00,08hrs 30mins,2024-11-07 06:30:00,900,NON A/C Sleeper (2+1),27,13,3.5,Bengaluru,Hyderabad,576
1253,YAS TOURS AND TRAVELS,2024-11-07 22:45:00,08hrs 15mins,2024-11-07 07:00:00,700,Volvo A/C Semi Sleeper (2+2),32,13,3.4,Bengaluru,Hyderabad,576
1254,Pooja Travels (Nagpur),2024-11-07 12:00:00,11hrs 00mins,2024-11-07 23:00:00,1500,Bharat Benz A/C Sleeper (2+1),26,14,3.5,Bengaluru,Hyderabad,576
1255,Yolo Bus,2024-11-07 17:16:00,11hrs 14mins,2024-11-07 04:30:00,1230,Bharat Benz A/C Sleeper (2+1),25,13,3.4,Bengaluru,Hyderabad,576
1256,Bmcc Travels,2024-11-07 20:57:00,10hrs 38mins,2024-11-07 07:35:00,499,Non A/C Seater / Sleeper (2+1),24,12,3.3,Bengaluru,Hyderabad,576
1257,AVM Tours And Travels,2024-11-07 22:00:00,09hrs 50mins,2024-11-07 07:50:00,500,Non A/C Seater / Sleeper (2+1),31,15,3.2,Bengaluru,Hyderabad,576
1258,VRL Travels,2024-11-07 20:15:00,08hrs 30mins,2024-11-07 04:45:00,1000,NON A/C Sleeper (2+1),21,10,3.5,Bengaluru,Hyderabad,576
1259,Orange Tours And Travels,2024-11-07 17:45:00,11hrs 15mins,2024-11-07 05:00:00,750,A/C Seater / Sleeper (2+1),38,12,3.2,Bengaluru,Hyderabad,576
1260,Saleem Travels,2024-11-07 19:45:00,10hrs 45mins,2024-11-07 06:30:00,599,Non AC Seater (2+2),35,15,3.1,Bengaluru,Hyderabad,576
1261,DHANUNJAYA TRAVELS,2024-11-07 20:40:00,09hrs 50mins,2024-11-07 06:30:00,499,A/C Semi Sleeper / Sleeper (2+1),28,11,3.1,Bengaluru,Hyderabad,576
1262,Orange Tours And Travels,2024-11-07 19:30:00,12hrs 00mins,2024-11-07 07:30:00,700,NON A/C Seater/ Sleeper (2+1),31,13,3.1,Bengaluru,Hyderabad,576
1263,SLC Road Lines,2024-11-07 22:45:00,07hrs 55mins,2024-11-07 06:40:00,2950,Non A/C Seater / Sleeper (2+1),33,15,3.3,Bengaluru,Hyderabad,576
1264,Swamy Ayyappa Travels,2024-11-07 23:15:00,08hrs 45mins,2024-11-07 08:00:00,1760,Volvo 9600 Multi-Axle A/C Sleeper (2+1),29,12,3.2,Bengaluru,Hyderabad,576
1265,Yes Express Tours and Travels,2024-11-07 22:30:00,09hrs 30mins,2024-11-07 08:00:00,850,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21,11,3.1,Bengaluru,Hyderabad,576
1266,National  travels,2024-11-07 23:50:00,07hrs 40mins,2024-11-07 07:30:00,800,Bharat Benz A/C Sleeper (2+1),31,16,3.0,Bengaluru,Hyderabad,576
1267,YAS TOURS AND TRAVELS,2024-11-07 00:30:00,08hrs 00mins,2024-11-07 08:30:00,800,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),37,12,3.0,Bengaluru,Hyderabad,576
1268,Bmcc Travels,2024-11-07 21:30:00,08hrs 30mins,2024-11-07 06:00:00,800,A/C Sleeper (2+1),30,15,3.0,Bengaluru,Hyderabad,576
1269,YAS TOURS AND TRAVELS,2024-11-07 01:20:00,08hrs 10mins,2024-11-07 09:30:00,1300,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),14,3,3.3,Bengaluru,Hyderabad,576
1270,Sri Krishna Travels,2024-11-07 22:50:00,08hrs 10mins,2024-11-07 07:00:00,750,A/C Sleeper (2+1),23,7,3.1,Bengaluru,Hyderabad,576
1271,SRS Travels,2024-11-07 21:00:00,10hrs 30mins,2024-11-07 07:30:00,650,NON AC Seater / Sleeper 2+1,27,7,3.0,Bengaluru,Hyderabad,576
1272,VRL Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,1200,Volvo 9600 Multi-Axle A/C Sleeper (2+1),29,14,3.0,Bengaluru,Hyderabad,576
1273,Orange Tours And Travels,2024-11-07 20:30:00,10hrs 30mins,2024-11-07 07:00:00,900,NON A/C Sleeper (2+1),27,13,3.0,Bengaluru,Hyderabad,576
1274,Kallada Travels (Suresh Kallada),2024-11-07 00:40:00,07hrs 10mins,2024-11-07 07:50:00,700,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),32,16,2.9,Bengaluru,Hyderabad,576
1276,Northern Travels,2024-11-07 21:30:00,10hrs 00mins,2024-11-07 07:30:00,500,Bharat Benz A/C Seater /Sleeper (2+1),38,18,2.7,Bengaluru,Hyderabad,576
1277,Orange Tours And Travels,2024-11-07 21:10:00,09hrs 30mins,2024-11-07 06:40:00,950,Volvo Multi-Axle Sleeper A/C (2+1),27,12,2.9,Bengaluru,Hyderabad,576
1278,Bmcc Travels,2024-11-07 19:00:00,10hrs 00mins,2024-11-07 05:00:00,2190,A/C Sleeper (2+1),36,18,2.9,Bengaluru,Hyderabad,576
1279,Saleem Travels,2024-11-07 22:20:00,09hrs 25mins,2024-11-07 07:45:00,680,NON A/C Sleeper (2+1),30,15,2.8,Bengaluru,Hyderabad,576
1281,Kallada Travels (Suresh Kallada),2024-11-07 23:40:00,08hrs 30mins,2024-11-07 08:10:00,1000,A/C Sleeper (2+1),21,3,3.0,Bengaluru,Hyderabad,576
1282,Orange Tours And Travels,2024-11-07 19:40:00,09hrs 20mins,2024-11-07 05:00:00,1200,Scania AC Multi Axle Sleeper (2+1),13,4,3.1,Bengaluru,Hyderabad,576
1283,SRS Travels,2024-11-07 22:00:00,09hrs 30mins,2024-11-07 07:30:00,950,A/C Sleeper (2+1),24,8,2.9,Bengaluru,Hyderabad,576
1284,Kaleswari Travels,2024-11-07 22:15:00,10hrs 30mins,2024-11-07 08:45:00,509,Non A/C Seater / Sleeper (2+1),24,13,2.8,Bengaluru,Hyderabad,576
1285,VRL Travels,2024-11-07 23:15:00,09hrs 15mins,2024-11-07 08:30:00,1200,A/C Sleeper (2+1),35,17,2.7,Bengaluru,Hyderabad,576
1286,Morning Star Travels,2024-11-07 17:05:00,12hrs 55mins,2024-11-07 06:00:00,990,Scania AC Multi Axle Sleeper (2+1),29,15,2.7,Bengaluru,Hyderabad,576
1287,Orange Tours And Travels,2024-11-07 19:40:00,10hrs 00mins,2024-11-07 05:40:00,1000,A/C Sleeper (2+1),29,14,2.7,Bengaluru,Hyderabad,576
1288,Swamy Ayyappa Travels,2024-11-07 23:00:00,09hrs 15mins,2024-11-07 08:15:00,1550,A/C Sleeper (2+1),20,8,2.9,Bengaluru,Hyderabad,576
1289,Orange Tours And Travels,2024-11-07 23:15:00,08hrs 15mins,2024-11-07 07:30:00,1300,Volvo 9600 Multi-Axle A/C Sleeper (2+1),30,13,2.7,Bengaluru,Hyderabad,576
1290,Orange Tours and Travels Platinum,2024-11-07 23:25:00,08hrs 35mins,2024-11-07 08:00:00,1200,Volvo Multi-Axle Sleeper A/C (2+1),28,14,2.7,Bengaluru,Hyderabad,576
1292,KKaveri Travels,2024-11-07 20:05:00,11hrs 25mins,2024-11-07 07:30:00,702,Non A/C Seater / Sleeper (2+1),37,18,2.5,Bengaluru,Hyderabad,576
1293,Morning Star Travels,2024-11-07 17:30:00,09hrs 45mins,2024-11-07 03:15:00,990,Scania AC Multi Axle Sleeper (2+1),31,15,2.6,Bengaluru,Hyderabad,576
1294,Orange Tours And Travels,2024-11-07 14:00:00,09hrs 30mins,2024-11-07 23:30:00,1650,Scania AC Multi Axle Sleeper (2+1),29,12,2.7,Bengaluru,Hyderabad,576
1295,Sri Tulasi Tours and Travels,2024-11-07 23:59:00,08hrs 31mins,2024-11-07 08:30:00,999,A/C Sleeper (2+1),23,13,2.7,Bengaluru,Hyderabad,576
